6501 東証1部 (株)日立製作所（電気機器）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2019-01-04","2825","2862.5","2792.5","2859","4262300","2859"
"2019-01-07","2968","3023","2965.5","3007","3664400","3007"
"2019-01-08","3047","3065","3019","3040","3858500","3040"
"2019-01-09","3078","3127","3066","3094","2940100","3094"
"2019-01-10","3080","3108","3059","3080","2874900","3080"
"2019-01-11","3140","3365","3101","3346","12718600","3346"
"2019-01-15","3345","3583","3323","3583","11811800","3583"
"2019-01-16","3588","3590","3429","3489","7732800","3489"
"2019-01-17","3522","3582","3469","3482","4416400","3482"
"2019-01-18","3412","3515","3409","3475","6380600","3475"
"2019-01-21","3477","3508","3449","3475","3527100","3475"
"2019-01-22","3483","3493","3428","3450","2259800","3450"
"2019-01-23","3447","3447","3390","3390","3839200","3390"
"2019-01-24","3385","3427","3372","3389","2993000","3389"
"2019-01-25","3372","3404","3360","3381","3108600","3381"
"2019-01-28","3388","3458","3376","3427","2883100","3427"
"2019-01-29","3357","3403","3337","3371","2997400","3371"
"2019-01-30","3350","3393","3350","3381","3270400","3381"
"2019-01-31","3458","3471","3385","3413","2961100","3413"
"2019-02-01","3418","3441","3367","3386","2603600","3386"
"2019-02-04","3505","3585","3500","3525","6969000","3525"
"2019-02-05","3525","3528","3413","3430","4197700","3430"
"2019-02-06","3465","3553","3449","3539","4260600","3539"
"2019-02-07","3547","3574","3476","3503","3881900","3503"
"2019-02-08","3433","3449","3352","3365","3806000","3365"
"2019-02-12","3408","3443","3368","3424","2984100","3424"
"2019-02-13","3404","3459","3391","3449","3714700","3449"
"2019-02-14","3449","3484","3427","3441","2495900","3441"
"2019-02-15","3402","3423","3365","3385","2597400","3385"
"2019-02-18","3435","3515","3435","3512","2897000","3512"
"2019-02-19","3496","3507","3479","3498","1736700","3498"
"2019-02-20","3500","3505","3455","3482","2782900","3482"
"2019-02-21","3441","3502","3440","3479","2820600","3479"
"2019-02-22","3425","3457","3402","3452","3282500","3452"
"2019-02-25","3484","3507","3454","3500","1961000","3500"
"2019-02-26","3509","3519","3457","3472","1994400","3472"
"2019-02-27","3456","3468","3423","3433","2986800","3433"
"2019-02-28","3397","3405","3327","3335","6131000","3335"
"2019-03-01","3375","3381","3334","3344","2524800","3344"
"2019-03-04","3400","3420","3372","3393","3094200","3393"
"2019-03-05","3335","3362","3318","3320","2871000","3320"
"2019-03-06","3334","3345","3316","3316","2017300","3316"
"2019-03-07","3270","3286","3215","3233","2968700","3233"
"2019-03-08","3149","3211","3139","3154","3595700","3154"
"2019-03-11","3154","3342","3154","3331","6468100","3331"
"2019-03-12","3367","3499","3367","3467","5981100","3467"
"2019-03-13","3405","3415","3352","3365","5225000","3365"
"2019-03-14","3366","3434","3366","3374","3199300","3374"
"2019-03-15","3407","3417","3390","3394","3672300","3394"
"2019-03-18","3405","3438","3397","3431","2495900","3431"
"2019-03-19","3500","3601","3454","3575","6219500","3575"
"2019-03-20","3510","3615","3503","3610","4585200","3610"
"2019-03-22","3641","3754","3618","3633","4604300","3633"
"2019-03-25","3500","3538","3473","3519","4059500","3519"
"2019-03-26","3518","3589","3506","3568","4551000","3568"
"2019-03-27","3475","3572","3472","3567","3251400","3567"
"2019-03-28","3537","3548","3503","3541","2781000","3541"
"2019-03-29","3581","3616","3568","3585","3769400","3585"
"2019-04-01","3608","3702","3608","3669","3718600","3669"
"2019-04-02","3734","3753","3709","3728","5168800","3728"
"2019-04-03","3755","3785","3744","3756","4238900","3756"
"2019-04-04","3795","3806","3698","3698","4792700","3698"
"2019-04-05","3710","3780","3703","3775","3163500","3775"
"2019-04-08","3799","3804","3713","3727","3518000","3727"
"2019-04-09","3703","3740","3677","3738","2216000","3738"
"2019-04-10","3672","3693","3643","3677","3326100","3677"
"2019-04-11","3653","3665","3607","3640","3888100","3640"
"2019-04-12","3639","3652","3614","3623","2647600","3623"
"2019-04-15","3695","3716","3651","3655","2144200","3655"
"2019-04-16","3650","3702","3636","3700","3692800","3700"
"2019-04-17","3770","3783","3737","3761","3841800","3761"
"2019-04-18","3798","3808","3669","3680","3444600","3680"
"2019-04-19","3695","3703","3635","3645","2343400","3645"
"2019-04-22","3621","3660","3601","3647","2160100","3647"
"2019-04-23","3675","3681","3636","3651","2509800","3651"
"2019-04-24","3678","3682","3580","3599","3295500","3599"
"2019-04-25","3623","3685","3622","3667","2803000","3667"
"2019-04-26","3620","3700","3612","3689","3435200","3689"
"2019-05-07","3834","3855","3766","3824","9346200","3824"
"2019-05-08","3757","3757","3679","3700","5396200","3700"
"2019-05-09","3668","3716","3647","3684","3416800","3684"
"2019-05-10","3681","3764","3653","3683","4449400","3683"
"2019-05-13","3692","3735","3674","3706","3722300","3706"
"2019-05-14","3566","3744","3560","3726","4418700","3726"
"2019-05-15","3793","3825","3702","3824","4467500","3824"
"2019-05-16","3800","3800","3716","3774","3535000","3774"
"2019-05-17","3779","3797","3723","3735","3647900","3735"
"2019-05-20","3705","3709","3651","3693","3461000","3693"
"2019-05-21","3688","3718","3648","3714","3318400","3714"
"2019-05-22","3743","3753","3658","3665","3022000","3665"
"2019-05-23","3627","3647","3560","3599","4351900","3599"
"2019-05-24","3551","3628","3516","3622","3319400","3622"
"2019-05-27","3630","3703","3630","3696","2806700","3696"
"2019-05-28","3726","3815","3723","3794","8370900","3794"
"2019-05-29","3750","3780","3728","3768","4723500","3768"
"2019-05-30","3712","3750","3696","3707","3336300","3707"
"2019-05-31","3705","3711","3665","3686","4585700","3686"
"2019-06-03","3624","3710","3623","3709","3778600","3709"
"2019-06-04","3719","3770","3712","3770","4993300","3770"
"2019-06-05","3825","3830","3777","3789","4706100","3789"
"2019-06-06","3791","3808","3780","3800","2501400","3800"
"2019-06-07","3792","3843","3791","3837","2746100","3837"
"2019-06-10","3913","4003","3911","3996","5764500","3996"
"2019-06-11","4031","4091","4023","4045","4690300","4045"
"2019-06-12","4010","4074","3998","4000","3137900","4000"
"2019-06-13","4000","4005","3934","3965","2931100","3965"
"2019-06-14","4009","4018","3982","4005","3473900","4005"
"2019-06-17","3962","3979","3941","3967","2603300","3967"
"2019-06-18","3967","3968","3896","3911","3077100","3911"
"2019-06-19","3960","4016","3943","3967","3432900","3967"
"2019-06-20","3987","3994","3920","3970","2301000","3970"
"2019-06-21","3950","3986","3905","3935","3900300","3935"
"2019-06-24","3910","3962","3906","3949","1755800","3949"
"2019-06-25","3942","3957","3902","3905","2152500","3905"
"2019-06-26","3921","3921","3884","3893","2014900","3893"
"2019-06-27","3934","3974","3911","3959","3009200","3959"
"2019-06-28","3989","3998","3937","3949","3237500","3949"
"2019-07-01","4028","4047","3985","4045","2712800","4045"
"2019-07-02","4056","4177","4055","4176","5221800","4176"
"2019-07-03","4160","4169","4125","4150","3938800","4150"
"2019-07-04","4175","4198","4154","4170","2044400","4170"
"2019-07-05","4180","4180","4137","4145","2474000","4145"
"2019-07-08","4143","4143","4081","4108","3051300","4108"
"2019-07-09","4108","4119","4084","4101","2308100","4101"
"2019-07-10","4101","4102","4043","4057","2747800","4057"
"2019-07-11","4060","4081","4035","4048","2986300","4048"
"2019-07-12","4060","4065","4021","4035","1557000","4035"
"2019-07-16","4010","4031","3983","4020","2476800","4020"
"2019-07-17","4015","4020","3963","3967","2902500","3967"
"2019-07-18","3897","3948","3858","3882","4648600","3882"
"2019-07-19","3848","3974","3839","3963","3936100","3963"
"2019-07-22","3950","3972","3923","3946","2015100","3946"
"2019-07-23","3975","4003","3956","3988","1849400","3988"
"2019-07-24","4077","4080","4015","4040","2067600","4040"
"2019-07-25","4035","4064","3964","3977","2185400","3977"
"2019-07-26","3960","3967","3886","3932","2628800","3932"
"2019-07-29","3885","3889","3804","3830","4739800","3830"
"2019-07-30","3890","3998","3874","3944","4999300","3944"
"2019-07-31","3870","3924","3859","3892","3312200","3892"
"2019-08-01","3902","3921","3862","3880","2252100","3880"
"2019-08-02","3810","3869","3776","3824","4439800","3824"
"2019-08-05","3787","3799","3686","3705","4277400","3705"